ID;PAROLA;MacroCategoria;Categoria;Necessita;Frequenza;Stagionalita;Fonte;Peso;NumeroPattern;NumeroTransazioni;UltimoUtilizzo
195;ARIDA CAFFE;Alimentari;Bar;Utile;Occasionale;Tutto l'anno;Migrazione;77;13;1;06/05/2025
35;CAFFETTERIA;Alimentari;Bar;Utile;Occasionale;Tutto l'anno;Migrazione;75;13;1;02/04/2025
262;FAUST SATYRUS;Alimentari;Bar;Utile;Occasionale;Tutto l'anno;Migrazione;70;13;1;22/06/2024
259;FRAGISKOS;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;72;13;1;21/07/2024
264;IDEA KAFE;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;77;13;1;22/07/2024
282;KATSANIS;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;73;13;1;24/07/2024
306;LA BOTTEGA DEL CAFFE';Alimentari;Bar;Utile;Occasionale;Tutto l'anno;Migrazione;78;13;1;14/09/2024
283;MOYSTAKIS;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;75;13;1;24/07/2024
258;MY COFFEE;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;78;13;1;21/07/2024
263;OPEC;Alimentari;Bar;Utile;Occasionale;Tutto l'anno;Migrazione;70;13;1;22/06/2025
265;RELAX;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;77;13;1;22/07/2024
268;SKOULATOS;Alimentari;Bar;Utile;Occasionale;Estiva;Migrazione;75;13;1;22/07/2024
317;STARBUCKS;Alimentari;Bar;Voluttuario;Occasionale;Estera;Migrazione;95;13;1;25/04/2025
253;A BRASILEIRA;Alimentari;Caffetteria;Voluttuario;Occasionale;Estiva;Migrazione;70;1;1;20/12/2024
309;ANAGNINA FOOD KIOSK;Alimentari;Chiosco;Voluttuario;Occasionale;Tutto l'anno;Migrazione;79;1;1;18/05/2025
230;ROMANA FLORA;Alimentari;Fiori;Utile;Occasionale;Tutto l'anno;Migrazione;70;1;1;14/02/2025
19;FRUTTERIA;Alimentari;Frutta/Orto;Essenziale;Occasionale;Tutto l'anno;Migrazione;90;2;10;14/06/2025
231;IL MONDO DELLA FRUTTA;Alimentari;Frutta/Orto;Essenziale;Occasionale;Tutto l'anno;Migrazione;78;2;1;15/02/2025
33;AMI POKE';Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;9;1;04/03/2025
278;AMOR DI GUSTO;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;78;9;1;24/05/2025
50;ARGU;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;80;9;11;09/06/2025
29;BISTROT;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;82;9;2;02/03/2025
226;BOLOGNA FOOD GALLERY;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;9;1;13/06/2025
49;CR ITALY;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;9;1;04/03/2025
34;FARIN KITCHEN;Alimentari;Gastronomia;Voluttuario;Occasionale;Tutto l'anno;Migrazione;75;9;1;03/04/2025
53;FATIFER;Alimentari;Gastronomia;Utile;Occasionale;Tutto l'anno;Migrazione;75;9;1;14/06/2025
30;POLLERIA;Alimentari;Gastronomia;Utile;Occasionale;Tutto l'anno;Migrazione;75;9;2;06/05/2025
36;GELARMONY;Alimentari;Gelateria;Utile;Occasionale;Estiva;Migrazione;80;2;1;06/04/2025
269;I NOBILI GELATERIA;Alimentari;Gelateria;Utile;Occasionale;Estiva;Migrazione;81;2;1;23/03/2025
331;SCAGORA GOURMET;Alimentari;Gourmet;Voluttuario;Occasionale;Estera;Migrazione;78;1;1;28/09/2024
233;TRUTH;Alimentari;Healthy;Utile;Occasionale;Tutto l'anno;Migrazione;70;1;4;15/06/2025
55;CASEIFICIO GIUSTI;Alimentari;Latticini;Essenziale;Occasionale;Tutto l'anno;Migrazione;80;2;3;30/03/2025
328;CASEIFICIO LA PAGLIARA;Alimentari;Latticini;Essenziale;Occasionale;Tutto l'anno;Migrazione;75;2;1;27/11/2024
51;LAVANDERIA DM;Alimentari;Lavanderia;Utile;Occasionale;Tutto l'anno;Migrazione;75;1;1;04/07/2025
220;IL MANNARINO;Alimentari;Macelleria;Essenziale;Occasionale;Tutto l'anno;Migrazione;80;2;1;12/06/2025
219;NORCINERIA LA VILLETTA;Alimentari;Macelleria;Essenziale;Occasionale;Tutto l'anno;Migrazione;80;2;3;12/04/2025
46;MENSA POLO;Alimentari;Mensa;Essenziale;Occasionale;Tutto l'anno;Migrazione;90;2;17;27/06/2025
37;MENSA POLO TUSCOLANO;Alimentari;Mensa;Essenziale;Occasionale;Tutto l'anno;Migrazione;85;2;17;27/06/2025
211;IL TIGELLINO;Alimentari;Panetteria;Utile;Occasionale;Tutto l'anno;Migrazione;75;4;1;11/06/2025
